dataset,layer,num_rows,mean_prev_loop_mass,mean_last_prev_loop_mass,mean_prompt_mass,mean_current_trigger_mass,mean_recent_nonloop_mass,top1_fraction_previous_loop,top1_fraction_last_previous_loop,top1_fraction_prompt,top1_fraction_current_trigger,top1_fraction_recent_nonloop
livecodebench,23,3,0.17674369613329569,0.04097234457731247,0.5624534090360006,0.15130134175221124,0.04954318702220917,0.041666666666666664,0.020833333333333332,0.9166666666666666,0.020833333333333332,0.0
livecodebench,24,3,0.17279953261216482,0.05468643270432949,0.564690093199412,0.1655946671962738,0.04245897630850474,0.0,0.0,0.8958333333333334,0.10416666666666667,0.0
livecodebench,25,3,0.2042728066444397,0.046731083964308105,0.5425430337587992,0.08532681812842687,0.04198199510574341,0.0625,0.0,0.8333333333333334,0.041666666666666664,0.0
livecodebench,26,3,0.14918544391791025,0.035789900769790016,0.5387725035349528,0.11516019701957703,0.042668928702672325,0.0,0.0,0.875,0.0625,0.0
livecodebench,27,3,0.11216769864161809,0.05609939557810625,0.6247315406799316,0.22355077167352042,0.016518456240495045,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
math500,0,3,0.3530549754699071,0.22534460326035818,0.009274755526954928,0.6418284773826599,0.08461434890826543,0.0,0.0,0.0,0.9583333333333334,0.041666666666666664
math500,1,3,0.37016454339027405,0.22032896180947623,0.04713284317404032,0.5514398813247681,0.12650333096583685,0.020833333333333332,0.020833333333333332,0.0,0.7291666666666666,0.16666666666666666
math500,2,3,0.38825516899426776,0.24669990440209708,0.034101552640398346,0.4994116723537445,0.1566431149840355,0.041666666666666664,0.0,0.020833333333333332,0.8125,0.08333333333333333
math500,3,3,0.1796878774960836,0.10370789468288422,0.608835240205129,0.17827573418617249,0.07660774638255437,0.0625,0.0,0.8541666666666666,0.020833333333333332,0.0625
math500,4,3,0.27632104357083637,0.19575232764085135,0.453751544157664,0.37882931033770245,0.04384926830728849,0.0,0.0,0.6875,0.2916666666666667,0.0
math500,5,3,0.19554970661799112,0.15952496727307638,0.6035254200299581,0.2907308538754781,0.04213924085100492,0.0,0.0,0.8958333333333334,0.10416666666666667,0.0
math500,6,3,0.40767644842465717,0.1867531289656957,0.373210330804189,0.2152380496263504,0.13502823809782663,0.08333333333333333,0.0,0.6666666666666666,0.22916666666666666,0.020833333333333332
math500,7,3,0.27249932785828906,0.17440066238244376,0.5109292268753052,0.2869033068418503,0.0655899482468764,0.0,0.0,0.875,0.125,0.0
math500,8,3,0.19249820709228516,0.07396172483762105,0.5647056897481283,0.07841905703147252,0.13334280252456665,0.0,0.0,0.9375,0.041666666666666664,0.020833333333333332
math500,9,3,0.19742944836616516,0.12405239293972652,0.46079665422439575,0.19108862181504568,0.11071803917487462,0.041666666666666664,0.0,0.7708333333333334,0.14583333333333334,0.020833333333333332
math500,10,3,0.2747102032105128,0.14468405147393545,0.39272940655549365,0.18037901570399603,0.18521648645401,0.0,0.0,0.8125,0.10416666666666667,0.08333333333333333
math500,11,3,0.277615562081337,0.09055524381498496,0.26904867589473724,0.15900815774997076,0.16379873702923456,0.08333333333333333,0.0,0.7291666666666666,0.125,0.041666666666666664
math500,12,3,0.20895399649937949,0.1044720175365607,0.37694533665974933,0.11751082291205724,0.1974959522485733,0.0,0.0,0.8333333333333334,0.10416666666666667,0.0625
math500,13,3,0.31424204011758167,0.13677753756443659,0.29860494534174603,0.1517016403377056,0.16854472955067953,0.020833333333333332,0.0,0.8125,0.08333333333333333,0.020833333333333332
math500,14,3,0.2350977063179016,0.11115908995270729,0.36119866371154785,0.14041484395662943,0.20109610011180243,0.0,0.0,0.8333333333333334,0.10416666666666667,0.0625
math500,15,3,0.18915532529354095,0.09246231615543365,0.4537394642829895,0.18572182456652322,0.16744308173656464,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0
math500,16,3,0.4073001245657603,0.1536464417974154,0.25750647981961566,0.19139166673024496,0.15206551303466162,0.125,0.0,0.625,0.16666666666666666,0.0625
math500,17,3,0.2738499989112218,0.12119925518830617,0.32617367307345074,0.21487882733345032,0.1400670732061068,0.0,0.0,0.8541666666666666,0.14583333333333334,0.0
math500,18,3,0.4096425175666809,0.18641838928063711,0.31240278979142505,0.2907160520553589,0.0912243773539861,0.020833333333333332,0.0,0.8125,0.14583333333333334,0.020833333333333332
math500,19,3,0.27285873889923096,0.13557554284731546,0.3994539479414622,0.27553287148475647,0.08895643800497055,0.0,0.0,0.8125,0.1875,0.0
math500,20,3,0.18419018387794495,0.08308131496111552,0.5107876857121786,0.20311947166919708,0.07717658082644145,0.0,0.0,0.8125,0.16666666666666666,0.020833333333333332
math500,21,3,0.23750168085098267,0.09728299329678218,0.5155914624532064,0.11033209413290024,0.11751753588517506,0.0,0.0,0.8541666666666666,0.10416666666666667,0.041666666666666664
math500,22,3,0.15733052293459573,0.0784023329615593,0.5588521758715311,0.17410212755203247,0.08080863455931346,0.0,0.0,0.875,0.125,0.0
math500,23,3,0.19910594820976257,0.08866272866725922,0.568170428276062,0.20020699004332224,0.0596298153201739,0.020833333333333332,0.0,0.8541666666666666,0.125,0.0
math500,24,3,0.16868788997332254,0.06912933041652043,0.6165881355603536,0.11946069200833638,0.08440566559632619,0.0,0.0,0.8541666666666666,0.14583333333333334,0.0
math500,25,3,0.21154546240965524,0.07579527298609416,0.5487017134825388,0.10739617546399434,0.08428201824426651,0.10416666666666667,0.020833333333333332,0.75,0.08333333333333333,0.020833333333333332
math500,26,3,0.10362350195646286,0.038116589188575745,0.5435966451962789,0.11011336247126262,0.08977459122737248,0.0,0.0,0.875,0.0625,0.0
math500,27,3,0.10158294936021169,0.06172106166680654,0.654322067896525,0.1915969749291738,0.04635783533255259,0.0,0.0,0.8125,0.1875,0.0
mmlu_pro,0,3,0.1914178878068924,0.04774746671319008,0.008991993110006055,0.5707865456740061,0.10578400641679764,0.020833333333333332,0.020833333333333332,0.0,0.8541666666666666,0.125
mmlu_pro,1,3,0.22368506590525308,0.05096727112929026,0.028242095063130062,0.3788507580757141,0.17529638608296713,0.0625,0.041666666666666664,0.0625,0.5,0.3541666666666667
mmlu_pro,2,3,0.20988055070241293,0.05561027551690737,0.02511191802720229,0.4041055341561635,0.14759619037310281,0.125,0.020833333333333332,0.0,0.625,0.1875
mmlu_pro,3,3,0.06303075204292934,0.014501429628580809,0.599858283996582,0.12540888537963232,0.06903933982054393,0.020833333333333332,0.0,0.9583333333333334,0.0,0.0
mmlu_pro,4,3,0.060445383191108704,0.016830308673282463,0.5042563875516256,0.289322833220164,0.05266985793908437,0.0,0.0,0.7708333333333334,0.20833333333333334,0.020833333333333332
mmlu_pro,5,3,0.03131792818506559,0.013187272474169731,0.536031444867452,0.3414068917433421,0.05353047822912534,0.0,0.0,0.8541666666666666,0.14583333333333334,0.0
mmlu_pro,6,3,0.21345642705758414,0.04779962574442228,0.27151186267534894,0.25572894016901654,0.09665042161941528,0.125,0.0625,0.5625,0.1875,0.08333333333333333
mmlu_pro,7,3,0.08274088303248088,0.0231211061278979,0.3823918004830678,0.3472042679786682,0.08697959035634995,0.0,0.0,0.7291666666666666,0.25,0.020833333333333332
mmlu_pro,8,3,0.13014715164899826,0.028500506654381752,0.3619060715039571,0.15615522613128027,0.1181419591108958,0.0,0.0,0.875,0.041666666666666664,0.041666666666666664
mmlu_pro,9,3,0.07651897644003232,0.021089394576847553,0.4274146358172099,0.28606390953063965,0.05549452950557073,0.020833333333333332,0.0,0.8333333333333334,0.125,0.020833333333333332
mmlu_pro,10,3,0.08114861200253169,0.02754364348948002,0.3618571062882741,0.35590944687525433,0.09229172021150589,0.0,0.0,0.8541666666666666,0.14583333333333334,0.0
mmlu_pro,11,3,0.22858384748299918,0.05029387896259626,0.2471264898777008,0.23510501782099405,0.10068416098753612,0.16666666666666666,0.0625,0.6875,0.14583333333333334,0.0
mmlu_pro,12,3,0.12765812377134958,0.04829701905449232,0.25699134667714435,0.27912116050720215,0.13924001405636469,0.020833333333333332,0.0,0.75,0.20833333333333334,0.020833333333333332
mmlu_pro,13,3,0.17181836565335593,0.04904238320887089,0.16371690730253854,0.15555883944034576,0.25254681209723157,0.0625,0.0625,0.625,0.125,0.125
mmlu_pro,14,3,0.15850119789441428,0.047987861558794975,0.19920065999031067,0.2736197014649709,0.17120109995206198,0.020833333333333332,0.0,0.7291666666666666,0.16666666666666666,0.08333333333333333
mmlu_pro,15,3,0.08723410715659459,0.038390085101127625,0.2902009040117264,0.35827239354451496,0.15728066364924112,0.0,0.0,0.8125,0.14583333333333334,0.041666666666666664
mmlu_pro,16,3,0.12133173644542694,0.035517727956175804,0.2820391158262889,0.14757206539312998,0.19314869244893393,0.041666666666666664,0.0,0.75,0.0625,0.08333333333333333
mmlu_pro,17,3,0.1727323979139328,0.05480574071407318,0.16888434688250223,0.2625224788983663,0.17978242536385855,0.0,0.0,0.7708333333333334,0.1875,0.020833333333333332
mmlu_pro,18,3,0.07095073784391086,0.02686961057285468,0.33089019854863483,0.20043247441450754,0.16947495440642038,0.0,0.0,0.7916666666666666,0.0625,0.0625
mmlu_pro,19,3,0.09120365728934605,0.03442035987973213,0.3397490779558818,0.2414770027001699,0.14865937332312265,0.0,0.0,0.7083333333333334,0.20833333333333334,0.0625
mmlu_pro,20,3,0.05520454173286756,0.01701146240035693,0.43344918886820477,0.15139621496200562,0.10128514717022578,0.0,0.0,0.875,0.0625,0.020833333333333332
mmlu_pro,21,3,0.08261756723125775,0.03218238428235054,0.4624186356862386,0.10293076932430267,0.1105907733241717,0.0,0.0,0.9166666666666666,0.020833333333333332,0.041666666666666664
mmlu_pro,22,3,0.07221697519222896,0.025329023599624634,0.5098715821901957,0.1617050071557363,0.10962703824043274,0.0,0.0,0.9375,0.0625,0.0
mmlu_pro,23,3,0.07362731173634529,0.01719575747847557,0.5296691258748373,0.1842023233572642,0.07575778663158417,0.0,0.0,0.7708333333333334,0.22916666666666666,0.0
mmlu_pro,24,3,0.040979391584793724,0.01268872773895661,0.6024983922640482,0.12610423316558203,0.07010205338398616,0.0,0.0,0.8958333333333334,0.10416666666666667,0.0
mmlu_pro,25,3,0.07852049668629964,0.020354139308134716,0.5336121320724487,0.092280479768912,0.09271460523207982,0.020833333333333332,0.020833333333333332,0.8541666666666666,0.0625,0.020833333333333332
mmlu_pro,26,3,0.050676832596460976,0.012535537593066692,0.5151530702908834,0.08774612595637639,0.09244222939014435,0.0,0.0,0.875,0.0625,0.0
mmlu_pro,27,3,0.04796086003383001,0.016119601825873058,0.6574927965799967,0.20338861644268036,0.038481373339891434,0.0,0.0,0.7916666666666666,0.20833333333333334,0.0
