dataset,mae_mean,mae_std,mse_mean,mse_std,pred_mean_mean,pred_mean_std,rmse_mean,rmse_std,selection_kind,source_name,source_type,spearman_mean,spearman_std,status,target_mean_mean,target_mean_std,target_name,top_10p_capture_mean,top_10p_capture_std,top_20p_capture_mean,top_20p_capture_std
mmlu_pro,0.2747553422619048,,0.08510492095739444,,0.3817220238095239,,0.29172747720671505,,,effective_budget,metadata_baseline,,,complete,0.12173562499999999,,mean_relative_length,0.12946300983517903,,0.2223585604734303,
mmlu_pro,0.2757420932895468,,0.12862868481892442,,0.38731097933400527,,0.35864841393616176,,,prompt_length_plus_effective_budget,metadata_baseline,0.3919251899267953,,complete,0.12173562499999999,,mean_relative_length,0.16926023093075673,,0.2916510505176005,
mmlu_pro,0.1751037078764057,0.012928572500044639,0.03666772270878398,0.005076162581188564,0.2726898081290225,0.013647006235952596,0.19119250900342108,0.013027694141370226,best_loss,ensemble,probe,0.5798009687878433,0.05293999975287817,complete,0.12173562516982202,0.0,mean_relative_length,0.2844228410559279,0.003535386195546487,0.4363551352104791,0.015607126850285992
mmlu_pro,0.17865548806051568,0.018337279692616407,0.03804715683773679,0.007176605833732447,0.27899154682333266,0.024628666534428453,0.19450322528356878,0.017985502162550824,best_rank,ensemble,probe,0.6021866088519082,0.026113270063579132,complete,0.12173562516982202,0.0,mean_relative_length,0.28131102016222104,0.0032367848093395844,0.4366377948015255,0.02360018627594502
mmlu_pro,0.14907404151842155,0.010729817748247125,0.02816235149388638,0.003171804528798286,0.22429218913118043,0.0172499360505308,0.16763410530557796,0.00957796160084097,best_loss,last_layer,probe,0.11573498964803312,0.15936724320275447,complete,0.12173562516982202,0.0,mean_relative_length,0.08406565244811237,0.032432893511054564,0.20001563079449194,0.050548989842621794
mmlu_pro,0.14907404151842155,0.010729817748247125,0.02816235149388638,0.003171804528798286,0.22429218913118043,0.0172499360505308,0.16763410530557796,0.00957796160084097,best_rank,last_layer,probe,0.11573498964803312,0.15936724320275447,complete,0.12173562516982202,0.0,mean_relative_length,0.08406565244811237,0.032432893511054564,0.20001563079449194,0.050548989842621794
livecodebench,0.259392501161183,,0.08482972007165265,,0.49298835048771766,,0.2912554206734231,,,prompt_length,metadata_baseline,0.4049523277144552,,complete,0.4077647395833333,,mean_relative_length,0.1369146297210031,,0.24777333437389795,
livecodebench,0.2721876764880952,,0.09376983333392237,,0.4961770476190476,,0.306218603833801,,,effective_budget,metadata_baseline,,,complete,0.4077647395833333,,mean_relative_length,0.09068712133975335,,0.18782825523755464,
livecodebench,0.259392501161183,,0.08482972007165265,,0.49298835048771766,,0.2912554206734231,,,prompt_length_plus_effective_budget,metadata_baseline,0.4049523277144552,,complete,0.4077647395833333,,mean_relative_length,0.1369146297210031,,0.24777333437389795,
livecodebench,0.2116960616549477,0.008117517556862118,0.055976141477195866,0.004219727356474478,0.4719462924326459,0.022727425861594194,0.23648085958776868,0.008911609772584967,best_loss,ensemble,probe,0.8062307121371929,0.0073838968665094215,complete,0.40776473882142455,0.0,mean_relative_length,0.16925992725103226,0.002684211452941781,0.3361923346201197,0.007033684867179244
livecodebench,0.21612520550843328,0.010793218796925418,0.05838919161455919,0.005679991570383506,0.48310086739559965,0.029515120750230633,0.24144233051708444,0.011924301805859343,best_rank,ensemble,probe,0.808366537755381,0.006063409223852464,complete,0.40776473882142455,0.0,mean_relative_length,0.16925992725103226,0.002684211452941781,0.341510241354726,0.0018218034241746512
livecodebench,0.22043734904533874,0.004853119118732673,0.060763014090138234,0.0025086345586248725,0.4622219936922192,0.004019954227520187,0.24646646735990638,0.005093312860962863,best_loss,last_layer,probe,0.7782237587405758,0.004998268165265259,complete,0.40776473882142455,0.0,mean_relative_length,0.15597450535534976,0.0017711468899288256,0.30831716591182556,0.008494543685624968
livecodebench,0.22086372596677392,0.004988045799810807,0.06098386537517489,0.0025528309721080363,0.4664349678903818,0.009963323565113376,0.24691279783104778,0.005186854887937721,best_rank,last_layer,probe,0.7784190788702684,0.004660994465785014,complete,0.40776473882142455,0.0,mean_relative_length,0.15597450535534976,0.0017711468899288256,0.30831716591182556,0.008494543685624968
